19,Calls,68
19,Calls,72
19,Calls,70
22,Calls,86
23,Calls,79
24,Calls,16
24,Calls,85
24,Calls,77
25,Calls,85
25,Calls,78
26,Calls,61
27,Calls,62
28,Calls,32
29,Calls,32
30,Calls,32
31,Calls,32
40,Calls,67
45,Calls,88
46,Calls,54
46,Calls,87
46,Calls,69
47,Calls,80
48,Calls,50
49,Calls,50
50,Calls,76
50,Calls,75
50,Calls,89
50,Calls,81
51,Calls,83
51,Calls,69
53,Calls,9
54,Calls,9
57,Calls,59
59,Calls,16
59,Calls,58
60,Calls,16
60,Calls,65
61,Calls,16
64,Calls,65
64,Calls,66
65,Calls,66
67,Calls,73
68,Calls,74
69,Calls,73
70,Calls,74
71,Calls,73
72,Calls,74
73,Calls,73
74,Calls,10
76,Calls,11
77,Calls,43
77,Calls,43
78,Calls,43
78,Calls,43
80,Calls,13
83,Calls,13
84,Calls,59
84,Calls,77
85,Calls,53
87,Calls,14
88,Calls,15
9,Persists,5
10,Persists,7
11,Persists,3
12,Persists,3
13,Persists,3
14,Persists,3
16,Persists,6
18,Uses,1
19,Uses,1
20,Uses,3
21,Uses,0
21,Uses,3
22,Uses,3
22,Uses,0
24,Uses,0
24,Uses,3
25,Uses,0
25,Uses,3
27,Uses,2
27,Uses,6
32,Uses,8
46,Uses,5
46,Uses,3
47,Uses,3
50,Uses,3
51,Uses,3
53,Uses,5
54,Uses,5
55,Uses,5
56,Uses,5
58,Uses,6
59,Uses,6
60,Uses,6
61,Uses,6
62,Uses,6
63,Uses,6
64,Uses,6
65,Uses,6
66,Uses,6
74,Uses,7
75,Uses,3
76,Uses,3
77,Uses,3
78,Uses,3
79,Uses,3
80,Uses,3
81,Uses,3
81,Uses,5
82,Uses,3
83,Uses,3
84,Uses,3
85,Uses,5
86,Uses,5
87,Uses,3
89,Uses,3
3,References,6
3,References,5
3,Extends,4
5,References,3
5,Extends,4
6,References,3
6,Extends,4
7,Extends,4
20,Calls,90
22,Calls,91
23,Calls,91
25,Calls,91
27,Calls,92
53,Calls,93
55,Calls,94
56,Calls,95
58,Calls,96
62,Calls,96
74,Calls,97
75,Calls,91
76,Calls,91
77,Calls,98
78,Calls,98
79,Calls,99
81,Calls,91
89,Calls,91
89,Calls,98
90,Persists,3
91,Persists,3
91,Persists,3
91,Persists,3
91,Persists,3
91,Persists,3
91,Persists,3
91,Persists,3
92,Persists,6
93,Persists,5
94,Persists,5
95,Persists,5
96,Persists,6
96,Persists,6
97,Persists,7
98,Persists,3
98,Persists,3
98,Persists,3
99,Persists,3
